Date,Raw_Close,Adj_Close,Daily_Return_Pct,Cum_Return_Pct
2016-04-06,15.6,11.33,,0.0
2016-04-07,15.54,11.29,-0.4006,-0.4
2016-04-08,15.69,11.4,0.9654,0.56
2016-04-11,15.75,11.44,0.3984,0.96
2016-04-12,15.74,11.43,-0.0794,0.88
2016-04-13,16.01,11.63,1.7474,2.64
2016-04-14,16.06,11.67,0.3123,2.96
2016-04-15,16.06,11.67,0.0,2.96
2016-04-18,15.96,11.6,-0.6226,2.32
2016-04-19,15.9,11.55,-0.3916,1.92
2016-04-20,15.66,11.38,-1.4937,0.4
2016-04-21,15.74,11.43,0.4788,0.88
2016-04-22,15.8,11.48,0.3972,1.28
2016-04-25,15.81,11.49,0.0791,1.36
2016-04-26,15.88,11.53,0.3953,1.76
2016-04-27,15.85,11.52,-0.1575,1.6
2016-04-28,15.6,11.33,-1.5773,0.0
2016-04-29,15.4,11.19,-1.282,-1.28
2016-05-03,15.19,11.03,-1.3799,-2.64
2016-05-04,15.02,10.92,-1.07,-3.69
2016-05-05,15.05,10.93,0.1664,-3.53
2016-05-06,14.93,10.84,-0.8306,-4.33
2016-05-09,14.93,10.84,0.0,-4.33
2016-05-10,15.0,10.9,0.5025,-3.85
2016-05-11,14.96,10.87,-0.25,-4.09
2016-05-12,14.95,10.86,-0.0835,-4.17
2016-05-13,14.79,10.74,-1.0869,-5.21
2016-05-16,14.9,10.83,0.7608,-4.49
2016-05-17,15.01,10.91,0.755,-3.77
2016-05-18,14.99,10.89,-0.1665,-3.93
2016-05-19,14.91,10.83,-0.5004,-4.41
2016-05-20,15.0,10.9,0.5867,-3.85
2016-05-23,15.5,11.26,3.3333,-0.64
2016-05-24,15.34,11.14,-1.0484,-1.68
2016-05-25,15.5,11.26,1.0595,-0.64
2016-05-26,15.54,11.29,0.2419,-0.4
2016-05-27,15.65,11.37,0.724,0.32
2016-05-30,15.79,11.47,0.8786,1.2
2016-05-31,15.79,11.47,0.0,1.2
2016-06-01,15.93,11.57,0.8709,2.08
2016-06-02,15.93,11.57,0.0,2.08
2016-06-03,15.96,11.6,0.2355,2.32
2016-06-06,16.01,11.63,0.3132,2.64
2016-06-07,16.23,11.79,1.3271,4.01
2016-06-08,16.31,11.85,0.5393,4.57
2016-06-13,15.94,11.58,-2.2989,2.16
2016-06-14,16.04,11.65,0.6275,2.8
2016-06-15,16.06,11.67,0.1559,2.96
2016-06-16,15.84,11.51,-1.4008,1.52
2016-06-17,16.01,11.63,1.105,2.64
2016-06-20,16.12,11.72,0.7026,3.37
2016-06-21,16.19,11.76,0.3876,3.77
2016-06-22,16.24,11.8,0.3089,4.09
2016-06-23,16.2,11.77,-0.231,3.85
2016-06-24,15.77,11.46,-2.6234,1.12
2016-06-27,15.94,11.58,1.0301,2.16
2016-06-28,16.0,11.62,0.3921,2.56
2016-06-29,16.17,11.75,1.0938,3.69
2016-06-30,16.36,11.89,1.1592,4.89
2016-07-01,16.56,12.03,1.2223,6.17
2016-07-04,16.58,12.04,0.0755,6.25
2016-07-05,16.52,12.01,-0.3017,5.93
2016-07-06,16.23,11.79,-1.8154,4.01
2016-07-07,16.42,11.93,1.2327,5.29
2016-07-08,16.42,11.93,0.0,5.29
2016-07-11,16.75,12.17,1.9787,7.37
2016-07-12,16.9,12.28,0.8955,8.33
2016-07-13,16.91,12.29,0.0739,8.41
2016-07-14,16.92,12.3,0.0739,8.49
2016-07-15,17.12,12.44,1.1817,9.78
2016-07-18,17.29,12.56,0.9489,10.82
2016-07-19,17.31,12.58,0.1446,10.98
2016-07-20,17.3,12.57,-0.0722,10.9
2016-07-21,17.39,12.63,0.5058,11.46
2016-07-22,17.33,12.59,-0.3594,11.06
2016-07-25,17.25,12.53,-0.4329,10.58
2016-07-26,17.35,12.61,0.5797,11.22
2016-07-27,17.42,12.66,0.4323,11.7
2016-07-28,17.26,12.7,0.2905,12.02
2016-07-29,17.14,12.6,-0.7241,11.21
2016-08-01,17.33,12.74,1.0941,12.43
2016-08-02,17.33,12.74,0.0,12.43
2016-08-03,17.19,12.64,-0.7937,11.54
2016-08-04,17.23,12.67,0.2182,11.78
2016-08-05,17.4,12.8,1.016,12.92
2016-08-08,17.51,12.88,0.6465,13.65
2016-08-09,17.6,12.95,0.4997,14.21
2016-08-10,17.65,12.98,0.2841,14.54
2016-08-11,17.49,12.86,-0.9207,13.48
2016-08-12,17.55,12.91,0.3574,13.89
2016-08-15,17.59,12.94,0.2137,14.13
2016-08-16,17.49,12.86,-0.5686,13.48
2016-08-17,17.51,12.88,0.1429,13.65
2016-08-18,17.48,12.85,-0.2141,13.4
2016-08-19,17.3,12.72,-1.0014,12.27
2016-08-22,17.17,12.63,-0.7226,11.46
2016-08-23,17.35,12.76,1.0189,12.59
2016-08-24,17.3,12.72,-0.2882,12.27
2016-08-25,17.5,12.87,1.1561,13.56
2016-08-26,17.52,12.89,0.1429,13.73
2016-08-29,17.51,12.88,-0.0713,13.65
2016-08-30,17.5,12.87,-0.0714,13.56
2016-08-31,17.35,12.76,-0.8571,12.59
2016-09-01,17.26,12.7,-0.5043,12.02
2016-09-02,17.29,12.72,0.1448,12.19
2016-09-05,17.58,12.93,1.6631,14.05
2016-09-06,17.71,13.03,0.7823,14.94
2016-09-07,17.96,13.21,1.4114,16.57
2016-09-08,17.9,13.17,-0.348,16.16
2016-09-09,17.6,12.95,-1.6759,14.21
2016-09-12,17.21,12.66,-2.2017,11.7
2016-09-13,17.21,12.66,0.0,11.7
2016-09-14,17.11,12.59,-0.581,11.05
2016-09-19,17.75,13.06,3.7253,15.19
2016-09-20,17.73,13.04,-0.1409,15.02
2016-09-21,17.81,13.1,0.4937,15.59
2016-09-22,17.85,13.13,0.2105,15.84
2016-09-23,17.98,13.22,0.7003,16.65
2016-09-26,17.75,13.06,-1.2517,15.19
2016-09-27,17.75,13.06,0.0,15.19
2016-09-28,17.75,13.06,0.0,15.19
2016-09-29,17.98,13.22,1.2676,16.65
2016-09-30,17.74,13.05,-1.3213,15.11
2016-10-03,17.86,13.14,0.7047,15.92
2016-10-04,17.94,13.19,0.4199,16.4
2016-10-05,17.88,13.15,-0.3484,16.0
2016-10-06,17.92,13.18,0.2797,16.32
2016-10-07,17.91,13.17,-0.0697,16.24
2016-10-11,17.86,13.14,-0.2792,15.92
2016-10-12,18.06,13.29,1.1197,17.21
2016-10-13,17.92,13.18,-0.7613,16.32
2016-10-14,17.86,13.14,-0.3487,15.92
2016-10-17,17.86,13.14,0.0,15.92
2016-10-18,17.99,13.23,0.6998,16.73
2016-10-19,18.09,13.3,0.556,17.38
2016-10-20,18.16,13.36,0.4147,17.86
2016-10-21,18.15,13.35,-0.0688,17.78
2016-10-24,18.17,13.37,0.1378,17.94
2016-10-25,18.35,13.5,0.9628,19.08
2016-10-26,18.25,13.42,-0.545,18.43
2016-10-27,18.15,13.35,-0.548,17.78
2016-10-28,18.15,13.35,0.0,17.78
2016-10-31,18.15,13.35,0.0,17.78
2016-11-01,18.15,13.35,0.0,17.78
2016-11-02,17.94,13.19,-1.1708,16.4
2016-11-03,17.8,13.09,-0.7665,15.51
2016-11-04,17.75,13.06,-0.2809,15.19
2016-11-07,18.0,13.24,1.4085,16.81
2016-11-08,18.09,13.3,0.4861,17.38
2016-11-09,17.5,12.87,-3.2481,13.56
2016-11-10,18.0,13.24,2.8572,16.81
2016-11-11,17.51,12.88,-2.7084,13.65
2016-11-14,17.52,12.89,0.0714,13.73
2016-11-15,17.48,12.85,-0.2853,13.4
2016-11-16,17.5,12.87,0.1431,13.56
2016-11-17,17.55,12.91,0.2857,13.89
2016-11-18,17.6,12.95,0.2849,14.21
2016-11-21,17.62,12.96,0.142,14.38
2016-11-22,17.86,13.14,1.3475,15.92
2016-11-23,17.95,13.2,0.4899,16.48
2016-11-24,17.85,13.13,-0.5571,15.84
2016-11-25,17.84,13.12,-0.07,15.75
2016-11-28,17.94,13.19,0.5606,16.4
2016-11-29,17.91,13.17,-0.1394,16.24
2016-11-30,17.92,13.18,0.0698,16.32
2016-12-01,18.0,13.24,0.4184,16.81
2016-12-02,17.8,13.09,-1.1111,15.51
2016-12-05,17.77,13.07,-0.1404,15.35
2016-12-06,18.0,13.24,1.2658,16.81
2016-12-07,18.0,13.24,0.0,16.81
2016-12-08,18.23,13.4,1.25,18.27
2016-12-09,18.29,13.45,0.343,18.67
2016-12-12,18.21,13.4,-0.4101,18.19
2016-12-13,18.24,13.41,0.1373,18.35
2016-12-14,18.27,13.44,0.2056,18.59
2016-12-15,18.25,13.42,-0.1368,18.43
2016-12-16,18.08,13.29,-0.9589,17.3
2016-12-19,17.96,13.21,-0.6224,16.57
2016-12-20,17.94,13.19,-0.1392,16.4
2016-12-21,17.92,13.18,-0.0697,16.32
2016-12-22,17.7,13.02,-1.2552,14.86
2016-12-23,17.64,12.97,-0.3531,14.46
2016-12-26,17.7,13.02,0.3544,14.86
2016-12-27,17.69,13.01,-0.0706,14.78
2016-12-28,17.9,13.17,1.2014,16.16
2016-12-29,17.81,13.1,-0.4888,15.59
2016-12-30,17.95,13.2,0.7719,16.48
2017-01-03,17.98,13.22,0.1393,16.65
2017-01-04,17.96,13.21,-0.0695,16.57
2017-01-05,18.12,13.33,0.9047,17.62
2017-01-06,18.16,13.36,0.2069,17.86
2017-01-09,18.11,13.32,-0.2753,17.54
2017-01-10,18.1,13.31,-0.069,17.46
2017-01-11,18.1,13.31,0.0,17.46
2017-01-12,18.29,13.45,1.0359,18.67
2017-01-13,18.15,13.35,-0.7519,17.78
2017-01-16,18.0,13.24,-0.8264,16.81
2017-01-17,18.08,13.29,0.4167,17.3
2017-01-18,18.04,13.27,-0.2075,17.05
2017-01-19,17.99,13.23,-0.2772,16.73
2017-01-20,18.04,13.27,0.278,17.05
2017-01-23,18.19,13.38,0.8316,18.03
2017-01-24,18.33,13.48,0.756,18.92
2017-02-02,18.23,13.4,-0.5457,18.27
2017-02-03,18.21,13.4,-0.0686,18.19
2017-02-06,18.31,13.47,0.5491,18.84
2017-02-07,18.33,13.48,0.0682,18.92
2017-02-08,17.94,13.51,0.2095,19.17
2017-02-09,18.0,13.55,0.3485,19.58
2017-02-10,18.2,13.7,1.1111,20.91
2017-02-13,18.24,13.73,0.206,21.16
2017-02-14,18.3,13.78,0.3427,21.58
2017-02-15,18.48,13.91,0.9563,22.74
2017-02-16,18.36,13.83,-0.609,21.99
2017-02-17,18.34,13.81,-0.1362,21.82
2017-02-20,18.27,13.76,-0.3408,21.41
2017-02-21,18.31,13.79,0.2051,21.66
2017-02-22,18.33,13.8,0.0683,21.74
2017-02-23,18.27,13.76,-0.2728,21.41
2017-02-24,18.29,13.77,0.0684,21.49
2017-03-01,18.09,13.62,-1.0936,20.16
2017-03-02,18.14,13.66,0.2764,20.5
2017-03-03,18.02,13.57,-0.6203,19.75
2017-03-06,18.04,13.58,0.0693,19.83
2017-03-07,18.11,13.64,0.4158,20.33
2017-03-08,18.21,13.71,0.5521,20.99
2017-03-09,18.01,13.56,-1.0982,19.67
2017-03-10,18.0,13.55,-0.0694,19.58
2017-03-13,18.12,13.65,0.6944,20.41
2017-03-14,18.25,13.74,0.6896,21.24
2017-03-15,18.21,13.71,-0.2055,20.99
2017-03-16,18.45,13.89,1.304,22.57
2017-03-17,18.5,13.93,0.271,22.9
2017-03-20,18.49,13.92,-0.0676,22.82
2017-03-21,18.73,14.1,1.2847,24.4
2017-03-22,18.55,13.97,-0.9346,23.24
2017-03-23,18.59,14.0,0.2022,23.49
2017-03-24,18.56,13.98,-0.1345,23.32
2017-03-27,18.55,13.97,-0.0673,23.24
2017-03-28,18.56,13.98,0.0674,23.32
2017-03-29,18.5,13.93,-0.3367,22.9
2017-03-30,18.48,13.91,-0.1351,22.74
2017-03-31,18.42,13.87,-0.2707,22.41
2017-04-05,18.66,14.05,1.289,23.98
2017-04-06,18.6,14.01,-0.3349,23.57
2017-04-07,18.52,13.95,-0.4032,23.07
2017-04-10,18.55,13.97,0.1349,23.24
2017-04-11,18.48,13.91,-0.4043,22.74
2017-04-12,18.51,13.94,0.2029,22.99
2017-04-13,18.6,14.01,0.4727,23.57
2017-04-14,18.39,13.85,-1.1425,22.16
2017-04-17,18.4,13.85,0.068,22.24
2017-04-18,18.4,13.85,0.0,22.24
2017-04-19,18.2,13.7,-1.087,20.91
2017-04-20,18.2,13.7,0.0,20.91
2017-04-21,18.38,13.84,0.9615,22.07
2017-04-24,18.41,13.86,0.2041,22.32
2017-04-25,18.59,14.0,0.9504,23.49
2017-04-26,18.64,14.03,0.269,23.82
2017-04-27,18.62,14.02,-0.0671,23.73
2017-04-28,18.64,14.03,0.0671,23.82
2017-05-02,18.8,14.16,0.8719,24.9
2017-05-03,18.89,14.22,0.4654,25.48
2017-05-04,18.91,14.24,0.1323,25.64
2017-05-05,18.79,14.15,-0.6609,24.81
2017-05-08,18.92,14.25,0.7319,25.73
2017-05-09,18.99,14.3,0.3302,26.14
2017-05-10,19.06,14.35,0.395,26.64
2017-05-11,19.12,14.4,0.3278,27.06
2017-05-12,19.08,14.36,-0.2614,26.72
2017-05-15,19.12,14.4,0.2621,27.06
2017-05-16,19.12,14.4,0.0,27.06
2017-05-17,19.08,14.36,-0.2614,26.72
2017-05-18,18.98,14.29,-0.5243,26.06
2017-05-19,18.96,14.28,-0.0659,25.98
2017-05-22,19.01,14.32,0.2637,26.31
2017-05-23,19.09,14.37,0.3945,26.81
2017-05-24,19.08,14.36,-0.0655,26.72
2017-05-25,19.25,14.49,0.9174,27.89
2017-05-26,19.24,14.49,-0.0649,27.8
2017-05-31,19.12,14.4,-0.5848,27.06
2017-06-01,19.23,14.48,0.5229,27.72
2017-06-02,19.3,14.53,0.3901,28.22
2017-06-05,19.5,14.68,1.0362,29.55
2017-06-06,19.49,14.67,-0.0641,29.46
2017-06-07,19.49,14.67,0.0,29.46
2017-06-08,19.56,14.73,0.3849,29.96
2017-06-09,19.5,14.68,-0.3195,29.55
2017-06-12,19.29,14.52,-1.0897,28.14
2017-06-13,19.31,14.54,0.1296,28.3
2017-06-14,19.21,14.47,-0.5178,27.64
2017-06-15,19.23,14.48,0.0651,27.72
2017-06-16,19.42,14.63,1.0403,29.05
2017-06-19,19.64,14.79,1.094,30.46
2017-06-20,19.86,14.96,1.1458,31.96
2017-06-21,19.89,14.97,0.1259,32.12
2017-06-22,19.94,15.01,0.2514,32.45
2017-06-23,19.92,15.0,-0.0627,32.37
2017-06-26,20.35,15.32,2.133,35.19
2017-06-27,20.33,15.3,-0.1228,35.03
