股票代號,股票名稱,帳戶,持有張數,現值,帳面損益,持有成本(反推),持有均價(反推),報酬率
2352,佳世達,A,12000,284400,-332560,616960,51.41,-53.8%
1101,台泥,A,19000,434150,-222490,656640,34.56,-33.9%
00795B,中信美國公債20年,B,58000,1583400,-195044,1778444,30.66,-11.0%
00795B,中信美國公債20年,A,14000,382200,-36310,418510,29.89,-8.7%
00687B,國泰20年美債,A,11000,309100,-34220,343320,31.21,-9.9%
00687B,國泰20年美債,B,9000,252900,-21478,274378,30.49,-7.8%
群益,群益ESG投等債20+,A,8000,119600,-6560,126160,15.77,-5.2%
永豐,永豐20年美公債,A,5000,120250,-4865,125115,25.02,-3.9%
統一,統一美債20年,A,5000,69350,-5450,74800,14.96,-7.3%
00751B,元大AAA至A公司債,B,2000,62900,-5610,68510,34.26,-8.2%
00933B,國泰10Y+金融債,B,2000,31920,-1456,33376,16.69,-4.4%
00853B,統一美債10年Aa-A,B,1000,27560,-1000,28560,28.56,-3.5%
2409,友達,A,9000,134100,-11700,145800,16.20,-7.2%
3311,閎暉,A,1000,32400,4900,27500,27.50,17.8%
6919,康霈,A,1300,122850,43654,79196,60.92,54.6%

帳戶小計,A帳戶,A,85000,1908400,-539446,2447846,28.80,-22.0%
帳戶小計,B帳戶,B,72000,1958680,-224588,2183268,30.32,-10.3%
總計,A+B帳戶,,157000,3867080,-764034,4631114,29.50,-16.5%
