股票代號,股票名稱,帳戶,股數,持有均價,收盤價,現值,帳面損益,庫存損益,報酬率,法人評分,明日建議
00687B,國泰20年美債,A,11000,31.22,28.10,309100,-34220,-34220,-9.9%,0.0,HOLD
00795B,中信美國公債20年,A,14000,29.89,27.30,382200,-36310,-36310,-8.7%,0.0,HOLD
永豐,永豐20年美公債,A,5000,25.08,24.05,120250,-4865,-4865,-3.9%,0.0,HOLD
統一,統一美債20年,A,5000,14.96,13.87,69350,-5450,-5450,-7.3%,0.0,HOLD
群益,群益ESG投等債20+,A,8000,15.77,14.95,119600,-6560,-6560,-5.2%,0.0,HOLD
1101,台泥,A,19000,34.56,22.80,434150,-222490,-222490,-33.9%,-0.7,SELL
2352,佳世達,A,12000,51.33,23.70,284400,-332560,-332560,-53.8%,-0.7,SELL
2409,友達,A,9000,16.20,14.85,134100,-11700,-11700,-7.2%,-0.4,SELL
3311,閎暉,A,1000,27.50,32.40,32400,4900,4900,17.8%,0.4,BUY
6919,康霈,A,1300,61.42,94.50,122850,43654,43654,54.6%,0.1,HOLD
00687B,國泰20年美債,B,9000,30.49,28.10,252900,-21478,-21478,-7.8%,0.0,HOLD
00751B,元大AAA至A公司債,B,2000,34.26,31.45,62900,-5610,-5610,-8.2%,0.0,HOLD
00795B,中信美國公債20年,B,58000,30.66,27.30,1583400,-195044,-195044,-11.0%,0.0,HOLD
00853B,統一美債10年Aa-A,B,1000,28.56,27.56,27560,-1000,-1000,-3.5%,0.0,HOLD
00933B,國泰10Y+金融債,B,2000,16.69,15.96,31920,-1456,-1456,-4.4%,0.0,HOLD

帳戶小計,A帳戶,,,,,1908400,-539446,-539446,-22.0%,,
帳戶小計,B帳戶,,,,,1958680,-224588,-224588,-10.3%,,
總計,A+B帳戶,,,,,3867080,-764034,-764034,-16.5%,,

庫存損益排行,虧損最大,佳世達 2352,12000,51.33,23.70,284400,-332560,-332560,-53.8%,,
庫存損益排行,虧損次大,台泥 1101,19000,34.56,22.80,434150,-222490,-222490,-33.9%,,
庫存損益排行,虧損第三,中信美債 00795B,58000,30.66,27.30,1583400,-195044,-195044,-11.0%,,
庫存損益排行,獲利最大,康霈 6919,1300,61.42,94.50,122850,43654,43654,54.6%,,
庫存損益排行,獲利次大,閎暉 3311,1000,27.50,32.40,32400,4900,4900,17.8%,,
